feature,importance
V14,0.1968523824725578
V10,0.14481876451690365
V12,0.08330988943193385
V11,0.08257270980260151
V17,0.08009961405722596
V4,0.0597639056357772
V16,0.05617350353082922
V3,0.04743866638072822
V7,0.04413976161436651
V21,0.02201075311355395
